Feature,Importance
TimeStep_58_Close_AAPL,1.3184407592525816e-05
TimeStep_57_Close_AAPL,1.2484598765762911e-05
TimeStep_56_Close_AAPL,9.989359560016454e-06
TimeStep_59_Close_AAPL,9.979362835341732e-06
TimeStep_55_Close_AAPL,7.1478644709976895e-06
TimeStep_54_Close_AAPL,4.68977268390347e-06
TimeStep_53_Close_AAPL,2.812658532909129e-06
TimeStep_52_Close_AAPL,1.517274952103076e-06
TimeStep_51_Close_AAPL,6.72395969596451e-07
TimeStep_45_Close_AAPL,5.39638618092253e-07
TimeStep_44_Close_AAPL,5.386258714892844e-07
TimeStep_46_Close_AAPL,5.162284938298178e-07
TimeStep_43_Close_AAPL,5.142554453246157e-07
TimeStep_42_Close_AAPL,4.7427095159841e-07
TimeStep_47_Close_AAPL,4.5770112812010265e-07
TimeStep_41_Close_AAPL,4.244991717694546e-07
TimeStep_40_Close_AAPL,3.678759246250607e-07
TimeStep_48_Close_AAPL,3.491734769456301e-07
TimeStep_39_Close_AAPL,3.073501945094481e-07
TimeStep_38_Close_AAPL,2.485914884137186e-07
TimeStep_37_Close_AAPL,1.94944914395645e-07
TimeStep_49_Close_AAPL,1.6300675800495768e-07
TimeStep_50_Close_AAPL,1.5117967346933713e-07
TimeStep_36_Close_AAPL,1.448567780693022e-07
TimeStep_35_Close_AAPL,1.0185430739773071e-07
TimeStep_34_Close_AAPL,6.58635966066523e-08
TimeStep_33_Close_AAPL,3.7143882766627055e-08
TimeStep_26_Close_AAPL,2.8162630471006977e-08
TimeStep_27_Close_AAPL,2.81363507631722e-08
TimeStep_25_Close_AAPL,2.6639442028270065e-08
TimeStep_28_Close_AAPL,2.6241733623350202e-08
TimeStep_24_Close_AAPL,2.4285280139368927e-08
TimeStep_29_Close_AAPL,2.174621224440565e-08
TimeStep_23_Close_AAPL,2.1277831486598425e-08
TimeStep_22_Close_AAPL,1.804825526509346e-08
TimeStep_21_Close_AAPL,1.489912696290424e-08
TimeStep_32_Close_AAPL,1.4618173739982567e-08
TimeStep_30_Close_AAPL,1.4046181232643672e-08
TimeStep_20_Close_AAPL,1.1798627751772803e-08
TimeStep_19_Close_AAPL,8.973513604890181e-09
TimeStep_18_Close_AAPL,6.500418818604359e-09
TimeStep_17_Close_AAPL,4.412099712663986e-09
TimeStep_16_Close_AAPL,2.6801786635281126e-09
TimeStep_31_Close_AAPL,2.1818145212910976e-09
TimeStep_9_Close_AAPL,1.5690180413816327e-09
TimeStep_10_Close_AAPL,1.5205553267422452e-09
TimeStep_8_Close_AAPL,1.5148991522068862e-09
TimeStep_7_Close_AAPL,1.3971277338254567e-09
TimeStep_11_Close_AAPL,1.3481752330398584e-09
TimeStep_15_Close_AAPL,1.3179131309621479e-09
TimeStep_6_Close_AAPL,1.2493808476183493e-09
TimeStep_5_Close_AAPL,1.0666420393126447e-09
TimeStep_12_Close_AAPL,1.0178856031119696e-09
TimeStep_4_Close_AAPL,8.805757632443512e-10
TimeStep_3_Close_AAPL,7.026129197118454e-10
TimeStep_2_Close_AAPL,5.366154780757685e-10
TimeStep_13_Close_AAPL,4.923479520260732e-10
TimeStep_1_Close_AAPL,3.923136706311279e-10
TimeStep_14_Close_AAPL,2.7507906514255555e-10
TimeStep_0_Close_AAPL,2.724212890881962e-10
